,Target
2998,1
2999,1
3000,0
3001,0
3002,0
3003,0
3004,1
3005,1
3006,0
3007,1
3008,0
3009,1
3010,0
3011,1
3012,1
3013,1
3014,0
3015,1
3016,0
3017,0
3018,0
3019,1
3020,1
3021,0
3022,1
3023,0
3024,1
3025,1
3026,1
3027,1
3028,0
3029,0
3030,0
3031,1
3032,0
3033,0
3034,0
3035,0
3036,1
3037,1
3038,1
3039,0
3040,1
3041,0
3042,1
3043,1
3044,0
3045,1
3046,1
3047,1
3048,0
3049,1
3050,1
3051,0
3052,0
3053,0
3054,0
3055,1
3056,0
3057,0
3058,0
3059,0
3060,0
3061,1
3062,0
3063,1
3064,1
3065,1
3066,1
3067,0
3068,1
3069,0
3070,0
3071,0
3072,0
3073,1
3074,1
3075,1
3076,1
3077,1
3078,1
3079,0
3080,1
3081,0
3082,1
3083,1
3084,0
3085,0
3086,1
3087,1
3088,1
3089,0
3090,0
3091,0
3092,0
3093,1
3094,0
3095,1
3096,0
3097,0
3098,1
3099,1
3100,0
3101,1
3102,1
3103,1
3104,0
3105,1
3106,0
3107,0
3108,0
3109,0
3110,0
3111,0
3112,1
3113,0
3114,1
3115,0
3116,1
3117,1
3118,1
3119,1
3120,0
3121,1
3122,1
3123,0
3124,1
3125,1
3126,0
3127,0
3128,0
3129,0
3130,1
3131,0
3132,1
3133,1
3134,0
3135,1
3136,1
3137,0
3138,0
3139,0
3140,1
3141,1
3142,0
3143,0
3144,0
3145,1
3146,0
3147,1
3148,1
3149,0
3150,1
3151,0
3152,1
3153,1
3154,1
3155,0
3156,0
3157,1
3158,0
3159,0
3160,1
3161,1
3162,0
3163,1
3164,0
3165,1
3166,1
3167,1
3168,1
3169,0
3170,0
3171,1
3172,0
3173,0
3174,0
3175,0
3176,0
3177,1
3178,0
3179,0
3180,1
3181,1
3182,1
3183,1
3184,0
3185,0
3186,1
3187,0
3188,0
3189,1
3190,1
3191,1
3192,1
3193,0
3194,1
3195,0
3196,1
3197,0
3198,0
3199,1
3200,0
3201,0
3202,0
3203,1
3204,1
3205,0
3206,1
3207,1
3208,1
3209,0
3210,1
3211,1
3212,0
3213,1
3214,0
3215,0
3216,0
3217,1
3218,0
3219,1
3220,0
3221,0
3222,1
3223,1
3224,1
3225,0
3226,0
3227,0
3228,1
3229,1
3230,0
3231,0
3232,0
3233,1
3234,0
3235,1
3236,1
3237,1
3238,1
3239,0
3240,0
3241,1
3242,1
3243,0
3244,1
3245,0
3246,0
3247,1
3248,1
3249,0
3250,0
3251,0
3252,1
3253,0
3254,0
3255,1
3256,0
3257,0
3258,1
3259,0
3260,1
3261,1
3262,1
3263,0
3264,1
3265,0
3266,1
3267,1
3268,0
3269,1
3270,0
3271,1
3272,0
3273,1
3274,0
3275,1
3276,1
3277,0
3278,0
3279,1
3280,1
3281,0
3282,1
3283,1
3284,0
3285,1
3286,1
3287,0
3288,0
3289,0
3290,0
3291,1
3292,0
3293,1
3294,0
3295,0
3296,1
3297,0
3298,1
3299,0
3300,1
3301,0
3302,0
3303,1
3304,0
3305,1
3306,1
3307,0
3308,1
3309,0
3310,1
3311,0
3312,0
3313,1
3314,1
3315,1
3316,0
3317,0
3318,1
3319,0
3320,0
3321,1
3322,0
3323,0
3324,0
3325,1
3326,1
3327,0
3328,1
3329,1
3330,0
3331,0
3332,1
3333,0
3334,1
3335,0
3336,1
3337,1
3338,1
3339,0
3340,1
3341,0
3342,0
3343,0
3344,0
3345,1
3346,1
3347,0
3348,1
3349,1
3350,1
3351,0
3352,1
3353,1
3354,0
3355,1
3356,0
3357,1
3358,0
3359,0
3360,0
3361,0
3362,0
3363,1
3364,0
3365,1
3366,1
3367,1
3368,1
3369,0
3370,1
3371,0
3372,0
3373,0
3374,1
3375,1
3376,1
3377,0
3378,0
3379,0
3380,0
3381,1
3382,1
3383,0
3384,0
3385,1
3386,1
3387,1
3388,1
3389,1
3390,0
3391,1
3392,0
3393,0
3394,0
3395,1
3396,1
3397,1
3398,0
3399,1
3400,0
3401,0
3402,1
3403,1
3404,1
3405,0
3406,0
3407,0
3408,0
3409,0
3410,1
3411,0
3412,0
3413,1
3414,0
3415,1
3416,1
3417,1
3418,1
3419,0
3420,0
3421,1
3422,0
3423,1
3424,1
3425,1
3426,1
3427,1
3428,0
3429,1
3430,1
3431,0
3432,0
3433,0
3434,0
3435,0
3436,0
3437,0
3438,1
3439,1
3440,0
3441,0
3442,1
3443,1
3444,0
3445,0
3446,1
3447,0
3448,0
3449,0
3450,1
3451,1
3452,1
3453,1
3454,1
3455,1
3456,1
3457,0
3458,1
3459,1
3460,0
3461,1
3462,0
3463,0
3464,0
3465,1
3466,1
3467,0
3468,0
3469,1
3470,0
3471,1
3472,0
3473,0
3474,1
3475,0
3476,0
3477,1
3478,1
3479,0
3480,0
3481,0
3482,1
3483,0
3484,1
3485,1
3486,0
3487,0
3488,1
3489,0
3490,0
3491,1
3492,1
3493,1
3494,1
3495,1
3496,0
3497,1
3498,0
3499,1
3500,0
3501,0
3502,1
3503,0
3504,0
3505,0
3506,1
3507,1
3508,1
3509,1
3510,0
3511,0
3512,0
3513,1
3514,1
3515,1
3516,1
3517,0
3518,0
3519,0
3520,1
3521,1
3522,0
3523,0
3524,0
3525,1
3526,0
3527,1
3528,1
3529,0
3530,1
3531,0
3532,1
3533,1
3534,0
3535,0
3536,1
3537,0
3538,0
3539,1
3540,0
3541,1
3542,0
3543,1
3544,1
3545,1
3546,0
3547,0
3548,0
3549,0
3550,1
3551,1
3552,1
3553,0
3554,1
3555,1
3556,0
3557,0
3558,0
3559,1
3560,0
3561,0
3562,1
3563,1
3564,1
3565,1
3566,1
3567,0
3568,0
3569,1
3570,1
3571,1
3572,0
3573,0
3574,0
3575,0
3576,1
3577,1
3578,0
3579,1
3580,0
3581,1
3582,0
3583,0
3584,1
3585,0
3586,1
3587,0
3588,1
3589,1
3590,0
3591,0
3592,1
3593,0
3594,1
3595,0
3596,1
3597,1
3598,0
3599,1
3600,0
3601,1
3602,1
3603,0
3604,1
3605,0
3606,1
3607,1
3608,0
3609,1
3610,0
3611,0
3612,0
3613,1
3614,0
3615,1
3616,0
3617,0
3618,0
3619,1
3620,0
3621,1
3622,0
3623,1
3624,1
3625,1
3626,0
3627,0
3628,1
3629,1
3630,0
3631,1
3632,1
3633,0
3634,0
3635,0
3636,1
3637,0
3638,1
3639,0
3640,1
3641,0
3642,1
3643,1
3644,1
3645,0
3646,1
3647,0
3648,1
3649,1
3650,1
3651,1
3652,0
3653,0
3654,1
3655,0
3656,1
3657,0
3658,1
3659,0
3660,0
3661,0
3662,0
3663,0
3664,1
3665,0
3666,0
3667,1
3668,0
3669,1
3670,1
3671,0
3672,1
3673,0
3674,1
3675,1
3676,0
3677,0
3678,1
3679,1
3680,0
3681,0
3682,1
3683,0
3684,0
3685,0
3686,1
3687,0
3688,1
3689,0
3690,1
3691,1
3692,1
3693,0
3694,0
3695,0
3696,1
3697,0
3698,1
3699,0
3700,1
3701,0
3702,1
3703,0
3704,1
3705,1
3706,1
3707,0
3708,1
3709,0
3710,1
3711,1
3712,0
3713,1
3714,0
3715,0
3716,1
3717,0
3718,1
3719,0
3720,1
3721,0
3722,1
3723,1
3724,1
3725,0
3726,0
3727,1
3728,0
3729,0
3730,1
3731,1
3732,0
3733,0
3734,1
3735,0
3736,0
3737,1
3738,1
3739,0
3740,1
3741,0
3742,1
3743,0
3744,0
3745,1
3746,1
3747,0
3748,0
3749,1
3750,1
3751,1
3752,0
3753,0
3754,1
3755,1
3756,0
3757,1
3758,0
3759,0
3760,1
3761,0
3762,0
3763,0
3764,1
3765,1
3766,0
3767,0
3768,1
3769,1
3770,1
3771,1
3772,0
3773,0
3774,0
3775,1
3776,1
3777,0
3778,1
3779,0
3780,1
3781,0
3782,0
3783,1
3784,1
3785,0
3786,0
3787,1
3788,1
3789,1
3790,0
3791,0
3792,1
3793,1
3794,1
3795,0
3796,0
3797,0
3798,0
3799,1
3800,1
3801,1
3802,0
3803,0
3804,0
3805,0
3806,1
3807,1
3808,0
3809,1
3810,0
3811,1
3812,1
3813,1
3814,0
3815,1
3816,0
3817,0
3818,0
3819,0
3820,1
3821,1
3822,0
3823,1
3824,0
3825,0
3826,1
3827,0
3828,1
3829,1
3830,1
3831,1
3832,0
3833,1
3834,1
3835,1
3836,0
3837,1
3838,0
3839,0
3840,0
3841,0
3842,1
3843,0
3844,0
3845,1
3846,1
3847,1
3848,0
3849,1
3850,1
3851,1
3852,0
3853,1
3854,0
3855,0
3856,0
3857,0
3858,0
3859,1
3860,1
3861,0
3862,0
3863,1
3864,1
3865,1
3866,0
3867,1
3868,0
3869,1
3870,1
3871,0
3872,0
3873,1
3874,0
3875,0
3876,0
3877,1
3878,1
3879,1
3880,1
3881,1
3882,0
3883,0
3884,1
3885,0
3886,0
3887,0
3888,1
3889,0
3890,1
3891,1
3892,1
3893,0
3894,1
3895,0
3896,1
3897,0
3898,0
3899,0
3900,0
3901,1
3902,0
3903,1
3904,1
3905,0
3906,0
3907,0
3908,1
3909,0
3910,1
3911,0
3912,0
3913,0
3914,1
3915,0
3916,0
3917,1
3918,1
3919,1
3920,1
3921,1
3922,1
3923,1
3924,1
3925,0
3926,0
3927,0
3928,1
3929,1
3930,1
3931,1
3932,0
3933,0
3934,0
3935,0
3936,1
3937,0
3938,1
3939,1
3940,0
3941,1
3942,0
3943,1
3944,0
3945,0
3946,0
3947,1
3948,1
3949,0
3950,0
3951,0
3952,0
3953,0
3954,1
3955,0
3956,1
3957,1
3958,1
3959,1
3960,1
3961,0
3962,1
3963,0
3964,0
3965,1
3966,0
3967,1
3968,0
3969,0
3970,0
3971,1
3972,1
3973,0
3974,1
3975,1
3976,1
3977,1
3978,0
3979,1
3980,0
3981,0
3982,1
3983,1
3984,1
3985,0
3986,0
3987,0
3988,1
3989,1
3990,0
3991,0
3992,1
3993,0
3994,0
3995,0
3996,0
3997,1
3998,1
3999,0
4000,0
4001,0
4002,1
4003,1
4004,0
4005,1
4006,1
4007,1
4008,1
4009,0
4010,0
4011,0
4012,1
4013,1
4014,0
4015,1
4016,0
4017,1
4018,1
4019,1
4020,1
4021,0
4022,1
4023,1
4024,1
4025,0
4026,1
4027,0
4028,1
4029,1
4030,1
4031,0
4032,0
4033,0
4034,0
4035,0
4036,0
4037,1
4038,0
4039,0
4040,1
4041,1
4042,0
4043,1
4044,0
4045,0
4046,0
4047,1
4048,0
4049,0
4050,0
4051,1
4052,0
4053,0
4054,1
4055,0
4056,1
4057,1
4058,1
4059,1
4060,1
4061,0
4062,1
4063,1
4064,0
4065,0
4066,0
4067,1
4068,1
4069,0
4070,1
4071,1
4072,0
4073,0
4074,1
4075,0
4076,1
4077,0
4078,1
4079,1
4080,0
4081,0
4082,0
4083,1
4084,1
4085,1
4086,0
4087,1
4088,0
4089,0
4090,0
4091,1
4092,1
4093,0
4094,1
4095,1
4096,0
4097,0
4098,0
4099,1
4100,0
4101,1
4102,1
4103,1
4104,0
4105,0
4106,0
4107,1
4108,0
4109,1
4110,1
4111,0
4112,1
4113,1
4114,0
4115,1
4116,1
4117,0
4118,0
4119,1
4120,0
4121,1
4122,1
4123,0
4124,1
4125,0
4126,1
4127,1
4128,1
4129,1
4130,0
4131,0
4132,0
4133,0
4134,0
4135,1
4136,1
4137,0
4138,1
4139,1
4140,0
4141,0
4142,0
4143,0
4144,0
4145,1
4146,0
4147,0
4148,0
4149,1
4150,1
4151,1
4152,1
4153,0
4154,1
4155,0
4156,1
4157,0
4158,1
4159,1
4160,0
4161,1
4162,1
4163,1
4164,1
4165,0
4166,0
4167,1
4168,1
4169,0
4170,0
4171,0
4172,0
4173,0
4174,1
4175,1
4176,0
4177,1
4178,1
4179,0
4180,0
4181,0
4182,1
4183,1
4184,0
4185,0
4186,1
4187,1
4188,0
4189,1
4190,0
4191,1
4192,0
4193,1
4194,1
4195,1
4196,1
4197,1
4198,0
4199,0
4200,0
4201,0
4202,0
4203,1
4204,0
4205,1
4206,1
4207,1
4208,0
4209,0
4210,1
4211,0
4212,0
4213,0
4214,0
4215,0
4216,0
4217,0
4218,0
4219,1
4220,1
4221,1
4222,1
4223,0
4224,1
4225,1
4226,0
4227,1
4228,1
4229,0
4230,0
4231,1
4232,1
4233,1
4234,0
4235,1
4236,1
4237,0
4238,0
4239,0
4240,1
4241,0
4242,1
4243,0
4244,1
4245,1
4246,0
4247,1
4248,0
4249,1
4250,1
4251,0
4252,0
4253,1
4254,0
4255,0
4256,1
4257,1
4258,1
4259,0
4260,1
4261,0
4262,0
4263,0
4264,1
4265,0
4266,0
4267,0
4268,1
4269,0
4270,1
4271,1
4272,1
4273,0
4274,1
4275,1
4276,0
4277,0
4278,1
4279,1
4280,1
4281,0
4282,0
4283,0
4284,1
4285,0
4286,1
4287,1
4288,0
4289,0
4290,1
4291,1
4292,0
4293,1
4294,0
4295,1
4296,0
4297,1
4298,0
4299,0
4300,1
4301,0
4302,1
4303,0
4304,1
4305,1
4306,1
4307,0
4308,0
4309,1
4310,0
4311,0
4312,1
4313,1
4314,0
4315,0
4316,0
4317,1
4318,0
4319,1
4320,1
4321,0
4322,1
4323,0
4324,0
4325,1
4326,1
4327,0
4328,1
4329,0
4330,1
4331,1
4332,0
4333,1
4334,0
4335,0
4336,1
4337,1
4338,0
4339,0
4340,1
4341,1
4342,0
4343,1
4344,0
4345,1
4346,0
4347,1
4348,0
4349,0
4350,1
4351,0
4352,1
4353,1
4354,1
4355,1
4356,0
4357,0
4358,0
4359,1
4360,0
4361,0
4362,1
4363,0
4364,0
4365,1
4366,0
4367,1
4368,1
4369,1
4370,0
4371,0
4372,1
4373,0
4374,0
4375,1
4376,0
4377,1
4378,1
4379,1
4380,0
4381,1
4382,0
4383,1
4384,0
4385,1
4386,0
4387,1
4388,0
4389,0
4390,1
4391,1
4392,1
4393,0
4394,1
4395,1
4396,0
4397,0
4398,0
4399,0
4400,1
4401,1
4402,1
4403,1
4404,0
4405,1
4406,0
4407,1
4408,0
4409,0
4410,1
4411,0
4412,1
4413,0
4414,0
4415,0
4416,0
4417,1
4418,0
4419,0
4420,1
4421,0
4422,1
4423,1
4424,1
4425,1
4426,0
4427,1
4428,1
4429,0
4430,0
4431,1
4432,0
4433,1
4434,0
4435,0
4436,1
4437,0
4438,0
4439,1
4440,1
4441,1
4442,0
4443,0
4444,0
4445,1
4446,0
4447,1
4448,1
4449,0
4450,1
4451,0
4452,1
4453,0
4454,0
4455,1
4456,1
4457,1
4458,0
4459,1
4460,0
4461,1
4462,1
4463,1
4464,0
4465,1
4466,0
4467,0
4468,0
4469,0
4470,0
4471,1
4472,0
4473,1
4474,0
4475,1
4476,0
4477,1
4478,1
4479,0
4480,0
4481,0
4482,0
4483,1
4484,1
4485,0
4486,0
4487,1
4488,0
4489,1
4490,1
4491,1
4492,0
4493,1
4494,1
4495,1
4496,0
4497,0
4498,0
4499,1
4500,1
4501,1
4502,0
4503,0
4504,1
4505,0
4506,0
4507,1
4508,1
4509,1
4510,1
4511,1
4512,1
4513,0
4514,0
4515,1
4516,1
4517,0
4518,0
4519,0
4520,0
4521,1
4522,0
4523,1
4524,0
4525,1
4526,0
4527,1
4528,0
4529,0
4530,1
4531,1
4532,1
4533,0
4534,0
4535,1
4536,0
4537,1
4538,0
4539,1
4540,0
4541,1
4542,0
4543,0
4544,1
4545,0
4546,0
4547,1
4548,0
4549,1
4550,1
4551,1
4552,0
4553,0
4554,0
4555,0
4556,0
4557,1
4558,1
4559,1
4560,1
4561,0
4562,0
4563,1
4564,1
4565,0
4566,0
4567,1
4568,0
4569,0
4570,1
4571,0
4572,1
4573,1
4574,1
4575,0
4576,0
4577,1
4578,0
4579,1
4580,1
4581,0
4582,1
4583,1
4584,0
4585,1
4586,0
4587,1
4588,0
4589,1
4590,0
4591,1
4592,0
4593,0
4594,0
4595,1
4596,1
4597,0
4598,0
4599,1
4600,1
4601,0
4602,1
4603,0
4604,1
4605,1
4606,1
4607,1
4608,0
4609,0
4610,0
4611,1
4612,1
4613,0
4614,1
4615,0
4616,0
4617,0
4618,1
4619,1
4620,1
4621,1
4622,1
4623,0
4624,1
4625,0
4626,0
4627,0
4628,0
4629,0
4630,1
4631,0
4632,0
4633,0
4634,1
4635,1
4636,1
4637,1
4638,0
4639,0
4640,1
4641,1
4642,0
4643,0
4644,1
4645,1
4646,1
4647,1
4648,1
4649,0
4650,1
4651,1
4652,0
4653,1
4654,0
4655,0
4656,0
4657,0
4658,1
4659,0
4660,0
4661,0
4662,0
4663,1
4664,0
4665,0
4666,1
4667,0
4668,1
4669,1
4670,0
4671,1
4672,0
4673,0
4674,1
4675,1
4676,1
4677,1
4678,1
4679,1
4680,0
4681,0
4682,0
4683,0
4684,1
4685,0
4686,1
4687,0
4688,0
4689,1
4690,0
4691,0
4692,0
4693,1
4694,1
4695,0
4696,0
4697,0
4698,1
4699,1
4700,1
4701,1
4702,1
4703,0
4704,1
4705,1
4706,0
4707,0
4708,1
4709,0
4710,1
4711,0
4712,1
4713,1
4714,1
4715,0
4716,1
4717,1
4718,0
4719,0
4720,1
4721,1
4722,1
4723,0
4724,0
4725,0
4726,0
4727,0
4728,0
4729,1
4730,1
4731,1
4732,0
4733,1
4734,1
4735,0
4736,0
4737,0
4738,1
4739,0
4740,1
4741,1
4742,0
4743,1
4744,0
4745,1
4746,1
4747,1
4748,1
4749,0
4750,0
4751,0
4752,0
4753,1
4754,1
4755,1
4756,0
4757,0
4758,0
4759,0
4760,0
4761,0
4762,1
4763,0
4764,0
4765,1
4766,0
4767,0
4768,1
4769,0
4770,1
4771,1
4772,1
4773,1
4774,1
4775,0
4776,1
4777,0
4778,1
4779,1
4780,0
4781,1
4782,0
4783,0
4784,1
4785,1
4786,0
4787,0
4788,1
4789,1
4790,1
4791,0
4792,0
4793,0
4794,0
4795,1
4796,0
4797,1
4798,0
4799,1
4800,1
4801,0
4802,1
4803,1
4804,0
4805,0
4806,1
4807,0
4808,0
4809,1
4810,0
4811,1
4812,0
4813,1
4814,1
4815,0
4816,0
4817,1
4818,0
4819,1
4820,0
4821,1
4822,1
4823,1
4824,0
4825,0
4826,0
4827,0
4828,1
4829,1
4830,1
4831,1
4832,0
4833,0
4834,1
4835,1
4836,0
4837,0
4838,1
4839,0
4840,1
4841,1
4842,1
4843,0
4844,1
4845,0
4846,0
4847,0
4848,0
4849,0
4850,1
4851,1
4852,0
4853,1
4854,1
4855,1
4856,0
4857,1
4858,0
4859,1
4860,0
4861,0
4862,1
4863,1
4864,1
4865,1
4866,1
4867,0
4868,1
4869,0
4870,1
4871,0
4872,0
4873,0
4874,0
4875,1
4876,0
4877,0
4878,0
4879,0
4880,1
4881,0
4882,1
4883,1
4884,0
4885,0
4886,1
4887,1
4888,0
4889,0
4890,1
4891,1
4892,1
4893,1
4894,1
4895,1
4896,0
4897,1
4898,0
4899,0
4900,1
4901,0
4902,0
4903,1
4904,0
4905,0
4906,1
4907,0
4908,1
4909,1
4910,1
4911,0
4912,1
4913,0
4914,1
4915,0
4916,0
4917,0
4918,0
4919,1
4920,1
4921,0
4922,0
4923,1
4924,1
4925,0
4926,1
4927,0
4928,1
4929,0
4930,0
4931,0
4932,1
4933,1
4934,1
4935,1
4936,0
4937,0
4938,1
4939,1
4940,0
4941,0
4942,1
4943,1
4944,1
4945,1
4946,1
4947,0
4948,0
4949,0
4950,0
4951,0
4952,1
4953,0
4954,1
4955,1
4956,0
4957,1
4958,1
4959,0
4960,1
4961,0
4962,1
4963,0
4964,0
4965,1
4966,1
4967,0
4968,0
4969,0
4970,1
4971,0
4972,1
4973,1
4974,1
4975,0
4976,0
4977,1
4978,0
4979,1
4980,0
4981,1
4982,0
4983,0
4984,1
4985,0
4986,1
4987,0
4988,0
4989,0
4990,1
4991,1
4992,0
4993,1
4994,1
4995,0
4996,1
4997,1
4998,0
4999,0
5000,1
5001,0
5002,1
5003,0
5004,1
5005,0
5006,0
5007,1
5008,1
5009,0
5010,1
5011,0
5012,1
5013,0
5014,1
5015,0
5016,1
5017,1
5018,1
5019,0
5020,0
5021,1
5022,0
5023,1
5024,0
5025,0
5026,1
5027,1
5028,0
5029,1
5030,1
5031,0
5032,0
5033,1
5034,0
5035,0
5036,0
5037,0
5038,1
5039,0
5040,1
5041,1
5042,1
5043,0
5044,0
5045,0
5046,1
5047,0
5048,1
5049,1
5050,0
5051,0
5052,1
5053,0
5054,1
5055,1
5056,1
5057,0
5058,1
5059,1
5060,0
5061,0
5062,1
5063,1
5064,0
5065,1
5066,1
5067,1
5068,1
5069,0
5070,0
5071,0
5072,0
5073,0
5074,1
5075,1
5076,0
5077,0
5078,0
5079,0
5080,1
5081,1
5082,1
5083,1
5084,1
5085,1
5086,0
5087,0
5088,1
5089,0
5090,0
5091,1
5092,0
5093,0
5094,0
5095,0
5096,1
5097,1
5098,1
5099,0
5100,0
5101,1
5102,0
5103,1
5104,1
5105,0
5106,1
5107,0
5108,1
5109,1
5110,1
5111,0
5112,0
5113,0
5114,1
5115,1
5116,1
5117,0
5118,0
5119,1
5120,1
5121,0
5122,0
5123,1
5124,0
5125,0
5126,1
5127,0
5128,1
5129,1
5130,1
5131,0
5132,0
5133,0
5134,1
5135,1
5136,0
5137,0
5138,1
5139,0
5140,0
5141,0
5142,1
5143,1
5144,0
5145,1
5146,1
5147,1
5148,0
5149,0
5150,0
5151,1
5152,0
5153,1
5154,1
5155,0
5156,1
5157,1
5158,1
5159,0
5160,1
5161,0
5162,0
5163,1
5164,1
5165,0
5166,0
5167,1
5168,0
5169,1
5170,1
5171,0
5172,0
5173,1
5174,0
5175,1
5176,0
5177,0
5178,1
5179,1
5180,0
5181,0
5182,0
5183,1
5184,1
5185,1
5186,1
5187,0
5188,1
5189,0
5190,1
5191,0
5192,0
5193,1
5194,1
5195,1
5196,0
5197,0
5198,0
5199,1
5200,0
5201,0
5202,0
5203,1
5204,1
5205,0
5206,1
5207,1
5208,0
5209,1
5210,1
5211,0
5212,0
5213,1
5214,0
5215,0
5216,0
5217,0
5218,1
5219,0
5220,1
5221,1
5222,1
5223,0
5224,0
5225,1
5226,1
5227,0
5228,0
5229,1
5230,0
5231,1
5232,1
5233,0
5234,1
5235,1
5236,1
5237,0
5238,0
5239,0
5240,1
5241,1
5242,0
5243,0
5244,0
5245,1
5246,0
5247,0
5248,0
5249,1
5250,0
5251,1
5252,1
5253,1
5254,0
5255,1
5256,1
5257,0
5258,0
5259,0
5260,1
5261,1
5262,1
5263,0
5264,1
5265,1
5266,0
5267,1
5268,0
5269,1
5270,0
5271,0
5272,1
5273,1
5274,0
5275,1
5276,1
5277,0
5278,1
5279,0
5280,0
5281,1
5282,1
5283,0
5284,1
5285,0
5286,1
5287,1
5288,1
5289,0
5290,1
5291,0
5292,0
5293,0
5294,1
5295,0
5296,1
5297,1
5298,0
5299,0
5300,0
5301,0
5302,1
5303,0
5304,1
5305,1
5306,1
5307,0
5308,0
5309,0
5310,1
5311,1
5312,0
5313,0
5314,0
5315,0
5316,0
5317,0
5318,1
5319,0
5320,1
5321,1
5322,1
5323,1
5324,1
5325,0
5326,1
5327,0
5328,1
5329,0
5330,1
5331,0
5332,1
5333,1
5334,0
5335,0
5336,0
5337,0
5338,1
5339,1
5340,0
5341,1
5342,0
5343,1
5344,1
5345,1
5346,1
5347,0
5348,0
5349,1
5350,0
5351,0
5352,0
5353,0
5354,1
5355,1
5356,1
5357,0
5358,1
5359,1
5360,1
5361,1
5362,0
5363,0
5364,1
5365,0
5366,1
5367,0
5368,1
5369,0
5370,0
5371,0
5372,0
5373,1
5374,1
5375,0
5376,1
5377,0
5378,1
5379,0
5380,0
5381,1
5382,1
5383,1
5384,0
5385,0
5386,0
5387,0
5388,0
5389,1
5390,1
5391,1
5392,1
5393,0
5394,1
5395,0
5396,0
5397,1
5398,0
5399,0
5400,1
5401,0
5402,1
5403,1
5404,1
5405,0
5406,1
5407,0
5408,1
5409,0
5410,1
5411,0
5412,1
5413,0
5414,0
5415,1
5416,0
5417,0
5418,1
5419,0
5420,1
5421,0
5422,1
5423,0
5424,0
5425,0
5426,1
5427,1
5428,1
5429,0
5430,1
5431,1
5432,1
5433,0
5434,1
5435,1
5436,0
5437,0
5438,1
5439,0
5440,1
5441,0
5442,1
5443,1
5444,0
5445,1
5446,0
5447,1
5448,0
5449,0
5450,0
5451,1
5452,0
5453,0
5454,1
5455,1
5456,0
5457,1
5458,1
5459,1
5460,1
5461,0
5462,1
5463,1
5464,1
5465,0
5466,0
5467,1
5468,0
5469,0
5470,0
5471,0
5472,1
5473,0
5474,1
5475,1
5476,0
5477,0
5478,0
5479,1
5480,0
5481,1
5482,0
5483,0
5484,1
5485,0
5486,1
5487,1
5488,0
5489,1
5490,1
5491,0
5492,1
5493,0
5494,1
5495,1
5496,0
5497,1
5498,1
5499,0
5500,0
5501,0
5502,1
5503,0
5504,0
5505,0
5506,1
5507,1
5508,1
5509,1
5510,0
5511,0
5512,1
5513,0
5514,1
5515,1
5516,1
5517,0
5518,0
5519,1
5520,1
5521,0
5522,0
5523,1
5524,1
5525,0
5526,1
5527,1
5528,0
5529,0
5530,1
5531,0
5532,0
5533,0
5534,1
5535,1
5537,1
5538,1
5539,0
5540,0
5541,0
5542,1
5543,0
5544,1
5545,0
5546,1
5547,1
5548,0
5549,0
5550,1
5551,0
5552,0
5553,1
5554,0
5555,0
5556,1
5557,1
5558,0
5559,0
5560,1
5561,1
5562,1
5563,0
5564,0
5565,1
5566,0
5567,1
5568,1
5569,0
5570,0
5571,1
5572,0
5573,1
5574,0
5575,1
5576,0
5577,1
5578,0
5579,1
5580,1
5581,0
5582,1
5583,0
5584,1
5585,0
5586,0
5587,1
5588,0
5589,1
5590,1
5591,0
5592,1
5593,0
5594,1
5595,0
5596,0
5597,1
5598,0
5599,1
5600,1
5601,0
5602,0
5603,1
5604,1
5605,0
5606,0
5607,1
5608,1
5609,0
5610,0
5611,1
5612,1
5613,0
5614,1
5615,0
5616,1
5617,0
5618,0
5619,1
5620,0
5621,1
5622,1
5623,0
5624,1
5625,0
5626,1
5627,1
5628,0
5629,0
5630,1
5631,1
5632,0
5633,0
5634,1
5635,0
5636,1
5637,0
5638,0
5639,1
5640,0
5641,1
5642,0
5643,1
5644,0
5645,0
5646,1
5647,1
5648,0
5649,1
5650,0
5651,1
5652,1
5653,0
5654,0
5655,0
5656,1
5657,1
5658,1
5659,1
5660,0
5661,0
5662,1
5663,0
5664,1
5665,0
5666,1
5667,1
5668,0
5669,0
5670,0
5671,1
5672,1
5673,1
5674,1
5675,0
5676,0
5677,0
5678,1
5679,0
5680,1
5681,0
5682,0
5683,1
5684,1
5685,0
5686,1
5687,0
5688,1
5689,1
5690,0
5691,0
5692,0
5693,1
5694,1
5695,0
5696,0
5697,1
5698,0
5699,1
5700,1
5701,0
5702,1
5703,0
5704,1
5705,0
5706,0
5707,1
5708,0
5709,0
5710,1
5711,1
5712,1
5713,0
5714,0
5715,1
5716,1
5717,0
5718,0
5719,0
5720,1
5721,1
5722,0
5723,1
5724,0
5725,0
5726,1
5727,1
5728,0
5729,1
5730,1
5731,0
5732,1
5733,1
5734,1
5735,1
5736,0
5737,0
5738,1
5739,0
5740,0
5741,1
5742,1
5743,0
5744,1
5745,0
5746,0
5747,0
5748,0
5749,1
5750,1
5751,0
5752,1
5753,0
5754,0
5755,1
5756,1
5757,0
5758,0
5759,1
5760,0
5761,1
5762,0
5763,1
5764,0
5765,1
5766,0
5767,0
5768,0
5769,0
5770,1
5771,1
5772,1
5773,1
5774,0
5775,0
5776,1
5777,0
5778,1
5779,1
5780,1
5781,0
5782,0
5783,0
5784,1
5785,1
5786,1
5787,0
5788,0
5789,0
5790,1
5791,1
5792,0
5793,1
5794,1
5795,1
5796,0
5797,0
